raman_shift,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
330.8,-412.5,-601.178,51.168,-56.493,100.627,-212.898,284.841,-230.47,247.323,-204.104,90.487,-468.269,32.066,171.563,134.157,-10.758,-159.053,334.387,-113.577,754.339,-21.704,-149.088,-330.75,344.722,404.873,136.256,-73.595,-5.449,242.982,10.956,317.849,-13.704,-414.268,-773.872,227.742,551.821,242.756,387.192,241.123,-186.383,212.295,346.653,-249.294,-126.229,391.025,-140.806,-115.415,149.663,-152.523,19.803,28.224,225.681,-116.044,8.501,-8.555,184.991,165.612,257.399,295.332,446.285,500.675,-420.657,-435.644,319.022,-14.512,-351.748,-203.785,5.828,-96.299,-52.519,-61.55,-5.857,67.377,538.567,386.163,-186.798,-84.639,-73.0,-286.056,351.205,493.95,43.979,-29.36,-200.11,526.526,129.294,330.043,-218.264,604.801,26.599,295.23,103.41,-274.783,307.636,-200.508,-115.274,408.779,186.463,56.353,-163.2
341.03,27.5,-12.683,0.0,-225.972,82.566,160.971,154.18,20.952,94.72,-71.569,69.196,-143.673,-72.148,-5.361,-80.494,48.41,212.969,242.7,200.112,164.927,78.677,187.038,94.887,89.574,29.89,98.104,76.321,-51.767,234.791,-153.384,-73.982,46.594,10.974,-696.395,-104.267,77.255,91.033,-60.844,194.007,-38.946,139.668,117.415,-14.005,162.695,219.424,16.897,50.67,-48.005,19.771,294.216,166.523,-73.346,-76.419,-141.69,151.136,-91.072,265.551,142.999,137.631,0.0,-189.911,187.279,51.931,116.008,-29.025,-46.512,270.743,-282.672,169.253,-125.462,90.86,310.414,29.294,175.62,35.106,-294.791,70.046,-8.76,-26.27,-5.853,23.521,67.434,-320.02,17.657,70.596,-82.278,150.287,-53.091,-150.463,-171.417,-150.567,-5.909,-224.554,5.916,53.076,-41.381,-296.217,56.235,-249.139,-29.673
351.25,180.0,88.782,-10.234,87.307,-446.373,158.375,13.066,230.47,89.457,132.535,228.88,154.316,253.856,13.403,-142.207,223.226,-24.262,-159.103,424.562,254.15,358.114,265.648,-214.174,81.43,589.647,-218.01,-139.013,168.923,-8.19,5.478,405.531,98.67,-156.379,-472.733,-93.292,206.933,-49.655,237.846,88.689,72.328,-47.487,92.254,-131.65,190.746,-354.454,-197.129,121.045,-166.606,-434.973,-22.632,177.812,-465.467,90.571,82.18,31.368,54.074,154.191,-323.179,424.361,365.666,-184.156,48.981,147.138,-34.802,310.564,-127.909,171.762,-125.308,-288.897,-180.899,-55.688,172.778,-225.567,73.175,-114.094,-151.774,388.171,-125.561,-265.623,128.775,61.744,325.441,-114.503,323.708,411.808,-167.495,79.564,392.286,-103.259,41.376,271.612,-73.864,-8.864,-20.706,492.423,-230.549,-234.011,-153.906,261.003,-32.64
361.47,-45.0,-12.683,25.584,123.257,30.962,15.578,65.33,157.139,147.341,13.254,13.307,-37.249,98.87,109.907,21.465,72.616,161.749,-70.113,51.38,64.889,62.399,59.635,40.666,65.144,5.435,-19.076,133.562,21.796,60.063,54.78,98.643,0.0,52.126,-74.038,145.425,24.832,33.103,60.844,44.344,-108.492,-44.694,33.547,-16.806,28.051,84.394,2.816,-25.335,56.477,59.314,19.803,31.047,36.673,-28.304,22.67,96.955,73.996,79.951,-57.2,63.081,-175.635,92.078,126.773,-5.77,52.204,37.732,-29.07,23.29,87.424,113.808,-105.038,123.101,29.284,76.166,90.737,-49.733,143.017,99.232,-20.44,-20.433,-29.267,8.821,126.072,135.054,52.97,105.893,91.094,20.628,168.123,64.906,20.688,-97.426,100.456,148.734,-245.517,32.435,67.982,14.811,2.96,88.978,160.233
371.67,10.0,-134.441,58.843,323.551,-67.085,-186.935,-292.68,-13.095,21.049,63.617,-85.165,-114.407,114.903,-77.739,351.492,-75.305,266.885,428.77,-8.113,62.186,-236.437,81.321,78.621,-59.716,86.953,231.635,49.063,38.144,-43.682,-257.466,-150.704,24.668,263.375,304.38,-115.243,-93.81,270.342,113.392,291.01,-236.457,-209.502,-131.393,56.021,137.45,-374.146,180.232,233.645,177.901,-14.122,299.874,70.56,-248.249,-39.625,226.704,-68.439,-162.223,-22.843,117.26,-183.507,-158.359,92.078,-11.525,-5.77,220.415,31.927,-69.768,-2.911,-52.455,-70.036,-105.038,120.17,122.994,-128.896,-90.737,2.925,90.48,81.72,294.922,110.92,-35.12,-296.958,41.047,46.975,-82.398,179.431,-179.249,132.607,64.889,-20.652,56.154,-259.803,56.137,218.683,352.006,218.199,-8.867,266.595,-2.96,-151.263,210.676
381.87,-87.5,55.806,161.18,136.097,103.208,-64.908,107.142,96.902,5.262,145.789,93.149,-29.267,13.361,29.487,26.831,164.057,86.266,129.44,-16.225,27.037,-376.6,135.535,135.553,67.859,10.869,-49.052,43.612,-24.521,111.935,314.985,145.224,63.039,90.535,21.937,-32.926,160.028,5.517,41.485,58.202,161.347,67.04,106.232,-28.011,-157.085,112.525,-28.161,137.935,14.119,-87.559,84.87,84.673,172.082,65.098,-11.335,59.884,11.384,108.505,145.859,77.417,48.947,-8.632,121.011,167.333,78.305,60.952,125.002,37.846,49.54,23.345,49.601,-67.412,61.497,43.942,29.27,236.964,105.074,119.662,102.201,55.46,26.34,70.564,-41.047,23.488,26.485,173.548,-76.401,-64.83,-23.596,-23.602,38.421,32.475,130.001,226.037,139.028,26.538,2.956,115.524,177.584,8.898,-2.967
392.06,97.5,-68.489,20.467,-87.307,5.16,64.908,67.944,39.285,42.098,53.014,53.228,-10.642,168.346,58.975,24.148,21.516,150.965,2.697,116.281,-27.037,-394.105,-18.975,-29.822,67.859,27.173,70.853,57.241,-38.144,196.569,95.865,90.423,-8.223,32.922,19.195,65.853,71.737,-30.344,49.782,97.003,72.328,-53.074,67.094,42.016,19.636,39.384,78.852,78.82,50.829,158.172,25.461,14.112,-14.105,-31.134,124.687,42.774,142.301,39.975,77.22,43.01,80.619,192.789,46.099,-66.356,63.804,20.317,52.326,17.467,-20.399,40.854,35.013,90.86,93.71,58.589,2.927,49.733,105.074,93.395,61.32,11.676,76.094,58.804,-26.387,111.567,138.311,94.128,-2.939,67.777,79.637,79.657,-168.461,0.0,65.001,195.852,-141.986,26.538,177.345,-2.962,-5.919,-94.91,-44.509
402.24,-10.0,106.538,-56.285,-43.654,10.321,31.156,83.623,-28.809,-10.524,-132.535,-178.313,45.23,114.903,174.243,126.108,91.442,72.787,0.0,64.901,-8.111,-324.967,54.214,54.221,108.574,48.911,2.725,32.709,81.737,111.935,87.648,158.924,57.558,-189.301,43.875,-76.828,333.851,-30.344,66.376,44.344,105.71,198.328,-25.16,294.111,123.424,-135.03,-30.977,22.52,223.082,-22.596,70.725,-194.747,39.494,11.321,170.028,125.471,-11.384,102.794,-125.839,-43.01,129.567,92.078,-77.793,100.977,-197.214,188.66,159.886,215.43,209.818,-96.299,-20.424,-14.655,-184.491,-158.19,26.343,-32.18,303.547,148.848,154.761,157.623,32.194,114.667,187.642,-91.015,208.939,67.654,323.235,-58.936,144.526,38.353,192.105,50.189,-32.5,153.193,-195.23,76.665,254.195,-130.335,62.154,2.966,172.102
412.42,-47.5,172.49,107.453,64.197,59.344,49.33,156.793,107.378,99.982,214.707,-77.18,-141.013,259.2,58.975,-246.85,207.089,-132.095,53.933,-16.225,35.148,-205.203,165.352,268.396,-16.286,222.816,103.555,136.287,-70.838,158.348,-183.513,-60.282,52.076,41.152,43.875,-214.022,68.978,380.686,-91.267,-83.146,-102.928,58.66,324.288,86.833,89.763,104.086,-53.506,160.455,2.824,112.98,36.777,214.504,-138.23,150.009,399.565,57.032,108.148,-14.277,71.5,-166.304,80.619,74.814,175.754,17.31,-66.705,235.1,-61.047,-26.201,174.849,119.644,312.196,-32.241,46.855,17.577,140.496,187.231,-55.456,93.395,5.84,55.46,-14.634,152.889,-38.115,176.158,144.197,194.138,-23.508,262.266,56.041,324.528,230.526,-97.426,277.73,123.112,218.895,182.816,-2.956,-106.638,165.745,391.504,-53.411
422.58,37.5,149.66,53.727,43.654,139.33,33.752,39.198,-125.711,-21.049,294.228,117.101,180.922,205.757,-5.361,120.742,209.778,153.661,361.354,-216.337,183.853,-70.834,59.635,67.777,130.289,51.628,119.905,278.026,207.066,349.457,27.39,106.863,202.822,224.967,-16.453,458.227,2.759,-60.689,82.97,185.692,83.455,231.848,145.371,154.058,56.102,239.116,70.403,295.574,206.139,-33.894,181.056,242.728,47.957,178.312,48.175,-219.574,-139.455,236.997,125.839,292.465,-80.619,359.68,247.784,-11.54,116.008,232.197,-119.188,451.238,-116.566,70.036,-67.108,93.791,-134.708,155.261,134.642,178.454,75.887,236.405,175.201,67.136,324.864,-249.915,2.932,161.478,8.828,111.776,179.249,20.628,44.243,191.766,-44.332,-168.281,144.774,130.667,65.077,88.459,-50.248,103.676,198.302,-169.058,145.396
