sol,target,scan,point,mean,amplitude,fwhm,snr
861,Dragons_Egg_Lake,detail_1,43,1012.9055907500293,24984.74486067722,30.839926736369968,178.68666122334048
861,Dragons_Egg_Lake,detail_1,73,1016.7748184926173,25224.433878357482,30.0,168.89819737216087
861,Dragons_Egg_Lake,detail_1,49,1016.4819121797772,18567.227757538898,30.0,168.75746408521758
861,Dragons_Egg_Lake,detail_1,82,1011.2384093475397,22532.42548696136,35.569778259273036,166.57606872118
861,Dragons_Egg_Lake,detail_1,11,1159.2967217323744,12673.088692301193,55.63372014769579,157.4868858063777
861,Dragons_Egg_Lake,detail_1,24,1012.5150341720475,23442.125726677114,32.47814863300235,154.19661726136042
861,Dragons_Egg_Lake,detail_1,46,998.7282032997317,26240.406647742664,30.0,152.98682420664198
861,Dragons_Egg_Lake,detail_1,71,1012.0060899428099,27784.4215854669,33.63498731297845,148.91589827670757
861,Dragons_Egg_Lake,detail_1,75,1002.0642709748577,14109.903442821806,30.0,143.6326387912943
861,Dragons_Egg_Lake,detail_1,26,1017.9244470418323,24614.920552368934,30.0,139.6039758192636
861,Dragons_Egg_Lake,detail_1,16,1017.9658031386675,21745.723306515403,30.0,130.5465373708881
861,Dragons_Egg_Lake,detail_1,0,1013.2499514007046,13788.525814243574,30.0,122.72797063344572
861,Dragons_Egg_Lake,detail_1,62,996.4055160965662,16335.783669876222,30.0,118.20728639444287
861,Dragons_Egg_Lake,detail_1,46,1148.6887398885494,20047.55261939897,81.51356839820212,116.88124538349086
861,Dragons_Egg_Lake,detail_1,87,1014.4129502598369,22459.92587701573,31.4533497358849,112.3139419828846
861,Dragons_Egg_Lake,detail_1,78,1000.9382465575044,19598.489321199508,30.0,112.28334716858677
861,Dragons_Egg_Lake,detail_1,38,996.0503461095615,8750.769964047766,30.0,111.26111108889674
861,Dragons_Egg_Lake,detail_1,18,1020.6093912644275,12304.264505452064,30.0,110.49646220171375
861,Dragons_Egg_Lake,detail_1,86,1013.0206822901154,17113.754011445755,30.0,109.96475897501662
861,Dragons_Egg_Lake,detail_1,21,1145.6418115179806,13541.228295684912,77.93425709251389,107.98583186549345
861,Dragons_Egg_Lake,detail_1,21,999.9858835956089,13534.1284309892,42.87277950437552,107.92921330929178
861,Dragons_Egg_Lake,detail_1,52,998.498230823051,18509.38739353745,30.0,107.45281332634889
861,Dragons_Egg_Lake,detail_1,65,1014.8011160581357,13521.311771704131,34.123636931324334,107.29172922834559
861,Dragons_Egg_Lake,detail_1,38,1145.9266810608317,8400.26236050285,77.40688534735325,106.8046043385496
861,Dragons_Egg_Lake,detail_1,83,1016.8093866814505,13595.32664416247,30.0,99.82102598441976
861,Dragons_Egg_Lake,detail_1,62,1144.1938978751268,13781.954979909016,78.03320020409082,99.72753877670365
861,Dragons_Egg_Lake,detail_1,76,1002.0113323979095,14060.663333458104,37.25510568490089,99.7233109492721
861,Dragons_Egg_Lake,detail_1,67,1012.5232735839824,18909.175790907368,36.55083729444556,99.70696810615789
861,Dragons_Egg_Lake,detail_1,11,1123.5035425024635,8010.513973825354,37.39686235720616,99.54565379256039
861,Dragons_Egg_Lake,detail_1,68,1017.8469612201253,16925.266210913498,30.0,98.88323932689825
861,Dragons_Egg_Lake,detail_1,53,1148.6851088558046,11602.596325688584,90.0,96.90574551328922
861,Dragons_Egg_Lake,detail_1,50,1143.2455078129249,10074.870721770907,72.9865613575998,95.71839533284097
861,Dragons_Egg_Lake,detail_1,60,1147.091279075719,10297.587839065105,76.85728112664727,95.39581462780912
861,Dragons_Egg_Lake,detail_1,13,1009.7118761454008,13433.570325684494,30.0,92.52571510138134
861,Dragons_Egg_Lake,detail_1,41,1143.548021279712,7043.0981518446015,77.48492740851175,90.36009388779476
861,Dragons_Egg_Lake,detail_1,4,1143.184154547735,11248.238324404218,77.09846221841194,87.11152045284216
861,Dragons_Egg_Lake,detail_1,53,994.0194189761884,9894.401058710551,30.0,82.6387718823718
861,Dragons_Egg_Lake,detail_1,79,1002.5561172365921,10336.222902310146,38.96856030859205,81.8573371031243
861,Dragons_Egg_Lake,detail_1,93,1012.7735735033893,16303.606913558731,30.108464954045694,81.68632742534177
861,Dragons_Egg_Lake,detail_1,8,1147.5412437273426,5958.929294761355,78.3323603942007,80.99629729473467
861,Dragons_Egg_Lake,detail_1,55,1138.7691393764878,8279.45598162448,75.79385158720676,79.30771644579264
861,Dragons_Egg_Lake,detail_1,23,1144.8543801342973,13269.050638579602,76.02677576837047,78.64597149069364
861,Dragons_Egg_Lake,detail_1,25,1011.4591268542752,18114.863697565397,30.0,77.9870288849547
861,Dragons_Egg_Lake,detail_1,51,1146.7869471959157,14477.198340905794,74.63485306952485,76.92643109328404
861,Dragons_Egg_Lake,detail_1,37,1142.234787069066,8174.126164650928,80.55964269618823,74.50478792885995
861,Dragons_Egg_Lake,detail_1,60,994.8171840143673,7970.983237469378,46.40757950481365,73.84238437261413
861,Dragons_Egg_Lake,detail_1,36,1135.7469805601595,8116.383860718757,80.32711675989833,71.26174485470631
861,Dragons_Egg_Lake,detail_1,27,1125.983127294977,6678.3346716905335,90.0,69.46920252244234
861,Dragons_Egg_Lake,detail_1,28,1146.0663850574958,7915.917900105492,79.39859281937797,69.2323431011988
861,Dragons_Egg_Lake,detail_1,64,1133.5158234547664,13754.382532052769,72.28905423866463,66.06410790716699
861,Dragons_Egg_Lake,detail_1,29,1015.8877621450373,9148.122077463608,30.0,64.92447598245658
861,Dragons_Egg_Lake,detail_1,91,1136.5545854369227,9203.076177409652,71.59443219346267,64.79494971765462
861,Dragons_Egg_Lake,detail_1,31,1141.9064963825854,9257.985049704861,74.85072884219169,63.34147385059999
861,Dragons_Egg_Lake,detail_1,72,998.4709361268297,9511.973903612636,30.0,62.56861402203375
861,Dragons_Egg_Lake,detail_1,77,1149.418440123741,11247.803090969797,74.36382642711729,62.355350166396555
861,Dragons_Egg_Lake,detail_1,58,1146.3995754757113,6197.218970887954,86.36779650954703,62.23256764107729
861,Dragons_Egg_Lake,detail_1,34,1145.4254137472728,11184.468098481619,78.88443826599388,62.01621150046956
861,Dragons_Egg_Lake,detail_1,88,1141.7597153199658,7774.357049818108,74.01156131736892,61.57178591780648
861,Dragons_Egg_Lake,detail_1,3,1019.3160704023812,10569.200104969437,30.0,61.254421379384866
861,Dragons_Egg_Lake,detail_1,22,1126.4900113948818,10600.661823205652,45.13083451258069,60.900285178995276
861,Dragons_Egg_Lake,detail_1,90,1022.6403663900583,10036.3408451427,30.0,59.72648488257964
861,Dragons_Egg_Lake,detail_1,92,1021.3371245508674,10473.73412616779,31.422672566149533,59.59091795668636
861,Dragons_Egg_Lake,detail_1,50,989.7789014884571,6038.834088132577,36.96247179805336,57.37319361808224
861,Dragons_Egg_Lake,detail_1,61,1140.1242538444083,15623.733157830564,79.15940539169594,57.32142547205776
861,Dragons_Egg_Lake,detail_1,78,1144.5170957898122,9821.16117432843,80.17731897102215,56.26723731930332
861,Dragons_Egg_Lake,detail_1,11,986.4904575230861,4527.288083091702,50.739414452414586,56.260041941280875
861,Dragons_Egg_Lake,detail_1,12,1147.0989408130397,4834.544620933257,74.01354344772139,56.11965564294915
861,Dragons_Egg_Lake,detail_1,9,1012.0709820372142,6602.474700124472,30.0,55.99796829915337
861,Dragons_Egg_Lake,detail_1,23,995.3096388387993,9338.382542669327,45.101965878585986,55.34881034251449
861,Dragons_Egg_Lake,detail_1,75,1134.238221504381,5394.879534650168,88.35377979672799,54.91751142472645
861,Dragons_Egg_Lake,detail_1,56,1143.4415729398988,8774.873117507494,78.79113892515976,54.08049520095738
861,Dragons_Egg_Lake,detail_1,40,1142.076183745381,6890.540107494083,82.80436685010811,53.96533000090723
861,Dragons_Egg_Lake,detail_1,7,1023.0387056506567,7009.594472253767,30.0,53.69211532575373
861,Dragons_Egg_Lake,detail_1,74,1119.9269479812142,7646.491852313587,90.0,50.702258972893645
861,Dragons_Egg_Lake,detail_1,72,1145.6972691848594,7689.889402940125,71.11675026154195,50.583162527595846
