wavelength,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
281.98,275.0,65.952,143.271,-177.183,95.88,58.261,7.84,-104.759,-268.372,225.31,271.462,-292.668,125.592,0.0,217.335,49.999,-296.539,-183.373,589.519,116.26,-453.069,-582.8,-485.281,244.291,-103.256,-286.138,-13.629,-332.396,382.218,331.419,189.065,-496.091,-359.398,-244.053,93.292,16.555,251.032,-85.735,0.0,-94.583,-321.236,436.112,-8.403,440.4,427.596,121.094,-115.415,-64.948,36.718,-449.812,-516.502,-533.171,16.982,-31.172,19.961,475.284,108.505,-719.474,-350.367,-250.202,569.734,-273.715,634.713,860.402,127.709,247.096,189.229,-122.394,242.206,-373.768,328.268,128.851,-577.101,0.0,193.082,-268.523,242.242,405.882,-108.001,-81.948,194.052,161.255,-396.355,-544.418,-432.398,167.495,42.597,-619.399,135.712,133.252,324.753,-26.591,593.885,-227.769,368.58,180.301,145.146,-177.584,-367.776,-207.709
282.04,-497.5,213.076,-619.135,1147.835,95.88,58.261,-65.33,123.092,89.457,267.721,340.658,-792.864,-232.478,324.361,254.899,49.999,62.004,488.097,-997.856,-118.964,474.773,384.919,-105.732,-130.289,274.444,-833.887,-403.41,-1517.578,-835.42,427.285,619.258,238.453,738.0,189.209,784.748,182.101,-965.507,-788.211,-41.573,623.133,203.915,-145.371,-988.774,446.01,140.656,-819.494,377.209,321.916,-466.042,328.164,429.008,-516.245,-297.187,779.293,470.516,702.965,-134.203,-907.448,-148.558,-191.793,281.989,582.005,317.356,751.335,487.864,-319.771,-40.757,29.141,-250.961,-52.519,424.99,571.045,-867.11,-348.312,-447.598,0.0,-131.336,70.08,-72.973,-102.435,-338.12,469.105,1470.917,-585.617,582.414,-490.73,42.597,-250.709,-569.398,133.252,-218.47,-62.046,-1955.98,-124.238,-574.985,-230.549,-678.336,-926.396,-1554.151,679.505
282.09,-400.0,-27.903,-278.867,200.293,95.88,58.261,606.266,-89.045,-576.21,275.673,-2.661,-138.352,-390.136,67.017,123.425,49.999,800.656,490.794,-262.309,619.153,-284.864,-552.982,398.527,-285.007,54.345,-5.45,73.595,-741.08,90.094,30.129,-567.196,520.759,263.375,-252.279,-642.067,-46.905,397.237,-160.408,-53.415,-194.729,432.97,1087.484,310.917,176.721,511.989,256.268,-126.675,-573.237,403.903,166.911,158.055,-194.65,-11.321,-456.241,327.936,62.612,11.422,-947.463,72.001,-184.506,-250.338,221.853,-908.794,185.613,940.908,607.566,340.612,-509.975,-142.989,134.215,389.818,-231.346,-1172.898,728.821,166.752,64.212,385.253,122.641,0.0,778.503,479.249,1055.486,161.478,-453.191,900.095,-161.618,42.597,-58.99,-1017.837,133.252,-215.518,455.005,94.549,118.321,-271.275,650.266,986.401,251.577,815.633,329.367
282.15,-247.5,-329.76,-255.841,197.726,-49.024,58.261,-253.482,123.092,-71.04,389.653,207.589,564.051,-181.707,-112.588,391.74,49.999,269.581,-350.567,2.704,1290.347,610.422,-290.044,-200.619,-225.291,364.114,882.939,84.498,593.954,-139.237,54.78,205.506,126.078,438.959,5.484,-205.791,-369.72,1969.065,243.378,110.82,-44.509,-30.727,-285.15,156.859,-359.052,154.722,304.142,329.354,-110.129,-316.344,-426.617,214.504,59.241,-50.946,124.687,322.232,-54.074,148.48,-851.261,264.541,-300.113,503.553,679.966,-11.54,-559.739,1399.566,191.863,-180.495,-64.111,-300.57,-285.937,594.986,477.335,-1416.78,550.275,134.572,-151.774,-429.031,-394.202,-391.138,-93.655,-323.419,-93.821,-267.173,-326.651,-317.68,217.449,42.597,345.094,-73.756,133.252,-141.711,-53.182,153.642,-328.342,23.589,186.213,-145.146,-97.671,50.421,-139.462
282.21,-80.91,832.01,51.168,980.924,-121.269,58.261,-763.059,-851.167,194.701,-82.172,330.013,-369.826,-2062.912,-683.57,163.672,49.999,-1072.933,380.23,-362.365,1652.872,-67.825,-444.554,1331.134,-200.862,-195.643,138.981,-24.532,474.073,-420.44,608.059,-627.478,202.822,-589.851,189.209,307.314,350.406,2959.863,-763.321,372.357,-236.457,-282.129,684.919,16.806,-258.069,351.641,363.281,87.265,245.673,646.81,-1090.996,-369.737,583.949,2.83,719.784,367.858,942.03,673.87,-630.576,382.289,-610.402,391.332,164.229,-5.77,-116.008,1776.577,-424.424,157.206,-67.025,52.527,64.19,-1307.21,-166.921,-1521.08,576.618,-740.146,-300.629,-677.111,-738.764,1258.063,-400.959,-1073.164,-387.011,719.311,1012.322,-423.574,631.778,42.597,109.132,-593.0,133.252,-714.457,-144.774,-197.962,162.692,905.232,-215.77,-933.082,14.799,845.292,946.559
282.26,-80.91,-177.563,422.137,-236.243,41.283,58.261,-5.226,377.133,192.07,341.941,-441.791,460.287,237.823,562.94,220.018,49.999,-336.976,407.197,232.563,1756.827,132.936,103.006,-292.795,266.006,-456.501,-2.725,-182.625,-482.247,881.832,-503.977,416.492,-635.874,672.156,-463.426,82.316,201.415,3433.085,622.272,652.425,-183.602,-19.553,27.956,-103.639,782.621,-312.257,188.681,489.809,505.465,-646.81,-1723.195,474.166,-674.222,393.419,235.205,313.678,-702.965,656.738,-297.151,378.484,-742.848,1090.551,109.486,54.816,977.367,1984.667,43.605,-119.36,-425.465,119.644,-385.139,-64.481,-175.706,-1408.121,910.295,962.483,294.791,-213.056,400.042,1068.332,-769.723,214.633,93.821,-182.03,1124.149,-85.303,17.631,42.597,-637.096,241.921,-653.157,-1086.448,-23.637,865.713,502.866,-442.296,76.85,-100.714,189.423,-148.297,-272.989
282.32,-80.91,654.447,-181.647,575.202,-134.17,58.261,548.775,269.755,-465.704,-50.363,-630.75,39.909,382.12,426.226,-466.868,49.999,16.175,59.327,208.225,1652.304,246.882,555.693,403.949,-575.442,144.015,79.028,-234.414,215.24,-354.917,-27.39,-361.69,87.707,-386.833,427.778,-93.292,126.919,3452.189,-461.864,872.247,239.238,92.181,-478.046,-39.215,201.967,213.798,-149.255,-380.024,635.361,121.453,-2220.163,95.962,81.809,-200.955,-365.559,119.768,517.974,-142.769,137.279,367.015,351.269,221.563,31.693,276.966,774.353,1936.565,215.119,-78.603,-87.424,-137.153,-37.93,-67.412,11.714,-1000.224,307.334,248.666,-198.473,218.894,-292.002,268.542,-87.801,-185.231,653.815,20.552,-47.085,-223.553,-305.604,42.597,286.103,699.209,112.308,129.901,271.821,957.308,-82.825,244.737,-360.602,672.412,-944.154,-302.526,189.905
282.38,-80.91,58.342,-127.92,69.332,-270.92,58.261,-512.19,136.187,555.162,161.693,-228.88,-417.717,-320.66,906.065,254.899,424.935,-388.197,213.037,173.07,1389.404,-222.465,-159.931,620.834,-38.001,100.539,-177.133,-16.354,-95.36,-458.662,-312.246,-1203.135,-715.358,-438.959,-441.488,-98.779,322.815,3080.631,575.256,953.042,728.843,541.911,-659.759,-86.833,280.509,-599.196,315.406,-163.27,-104.482,-440.622,-2478.864,276.597,22.568,229.258,221.036,-1286.078,-788.346,499.692,277.419,653.745,-238.978,-233.073,328.458,579.897,134.015,1545.003,-438.959,-459.972,-489.285,-26.263,-166.31,375.163,491.977,-219.709,629.303,497.332,706.331,-169.278,-172.281,224.758,175.602,-76.445,-111.412,1174.385,214.824,-470.638,-872.735,42.597,-44.243,1135.785,-203.927,2.952,327.958,79.776,-1313.368,76.665,-520.213,-337.687,-275.255,275.832,667.636
282.43,-80.91,-111.611,-263.516,169.479,399.929,58.261,339.718,167.615,-63.146,-148.439,-505.664,-638.548,256.528,-300.235,-59.029,-328.115,-283.06,358.657,265.013,1018.226,-678.246,-425.579,-582.879,141.146,138.581,-637.678,956.737,-237.036,193.839,550.54,-1541.442,613.947,773.665,564.886,-263.412,198.655,2381.866,-533.771,816.042,495.168,-97.767,-47.525,-179.268,415.154,87.207,216.842,-228.015,1073.054,587.496,-2396.257,-81.85,33.852,1098.176,-107.684,-476.22,-461.054,294.104,-749.317,-97.488,325.356,-681.954,-558.955,54.816,134.015,722.714,247.096,561.864,-489.285,755.801,17.506,-638.95,-52.712,664.984,-269.283,160.901,-163.449,531.182,-621.963,502.058,-146.335,-129.368,530.675,-179.094,258.966,-208.846,-481.915,645.352,85.536,1564.774,-32.51,386.752,-130.001,753.436,343.132,-701.776,-59.115,-340.649,201.262,400.402,818.967
282.49,-80.91,398.249,-25.584,59.061,-20.642,58.261,-376.303,-18.333,165.759,-206.755,-26.614,-82.479,480.99,348.487,611.758,-40.342,261.494,118.653,-630.083,588.861,-537.171,195.17,-555.769,38.001,-220.099,32.701,125.384,27.246,51.872,394.417,-1492.068,298.751,-170.097,41.132,-172.864,538.025,1419.356,323.582,382.47,153.001,-419.003,218.056,-336.127,316.975,5.626,-104.197,-270.24,299.326,172.294,-1869.298,19.757,45.136,-62.268,-175.695,-541.807,-45.536,-536.812,28.6,496.044,120.929,368.313,167.11,291.391,134.015,-185.758,171.514,1527.365,-489.285,207.189,75.861,-1290.161,386.554,477.5,-746.383,-392.014,507.858,17.511,-715.404,350.273,-14.634,-91.145,340.101,96.887,-153.025,361.803,32.324,-424.341,-817.017,1913.362,-180.283,-271.612,-17.727,203.871,-573.859,2.949,-608.886,-136.26,-53.275,136.433,442.123
