wavelength,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
338.27,2725.0,210.539,337.71,1697.358,5217.14,503.685,488.671,994.711,1081.381,766.053,2057.256,5680.417,1306.689,1241.149,6640.793,7820.965,5642.333,6674.254,497.576,1276.158,2162.25,5540.662,9944.193,5968.854,3113.988,1821.955,1152.99,1988.927,2407.974,1399.631,3773.087,2025.478,1080.937,2824.429,5095.375,2375.588,4364.09,11292.166,4085.228,1351.976,1259.802,5236.137,3702.999,3130.483,3415.139,2765.439,5691.92,352.978,2304.79,2161.359,1707.563,2584.046,1737.836,3377.883,4357.266,5177.123,5759.308,7616.149,1872.35,601.765,1913.5,5652.936,4437.221,4791.131,2127.509,386.633,2692.874,10514.226,1622.492,1995.721,5070.568,3004.575,3770.198,2804.059,571.106,2104.4,-921.423,4248.622,2089.96,863.378,-296.958,2629.918,-1394.453,2139.414,5680.009,1883.581,11324.597,1462.961,2575.569,-224.615,-38.38,6423.256,4975.635,3901.65,7849.28,3461.19,-32.584,118.389,548.698,937.658
338.31,2825.0,0.0,1077.09,775.495,5691.895,420.603,-114.982,886.361,1136.634,1081.487,2278.151,5491.513,2340.817,881.939,6549.566,7318.035,6297.416,6760.547,711.209,1086.898,1296.807,5323.806,9442.645,6376.007,2893.889,1936.596,613.293,2043.418,1905.63,1500.974,2685.276,2135.111,2010.981,1804.344,4634.404,2179.691,13544.68,11015.6,4478.784,1813.761,1237.456,5638.701,1882.311,2723.745,3530.477,3007.626,5410.421,705.957,1920.659,828.898,1817.637,3173.637,2083.139,3785.949,2763.214,5513.321,4982.644,6915.452,1344.766,1310.061,1999.823,5117.031,4290.083,4918.739,2287.144,970.942,2285.304,12830.969,2156.513,1231.278,5381.25,2717.588,3503.618,2824.548,-2291.148,2863.268,-501.646,3533.218,2101.636,1150.195,529.232,3233.891,-1407.737,2692.66,5262.318,1833.626,11259.767,1235.848,2454.609,659.068,280.469,5826.431,5200.189,3682.756,7698.899,2633.578,284.368,1237.168,1014.351,637.963
338.36,2040.0,347.516,800.782,531.548,5580.947,542.63,718.635,594.508,694.61,1224.625,1157.705,5065.814,2554.59,595.108,6686.406,7699.939,5593.809,7143.474,-81.127,1673.606,1508.42,4906.359,10651.781,6872.733,2374.891,1986.269,596.938,2168.748,2298.769,1596.839,2825.02,2727.132,1640.609,1771.438,4694.769,2469.397,10838.503,11120.695,4417.811,1204.538,1237.456,5132.7,1226.864,3526.001,2908.775,2810.497,5981.865,1279.193,1443.318,1802.075,1326.536,3303.403,919.864,4239.357,3638.66,5488.422,5570.853,7247.211,2204.957,1318.699,1568.206,5491.588,4099.669,4356.101,2829.906,706.404,1973.804,7891.498,1391.958,1797.316,4671.957,2743.944,2973.388,1887.91,-3400.814,1897.171,80.847,3854.42,2171.691,146.335,614.497,2841.016,-1205.768,2342.467,6509.508,1860.073,12052.46,766.875,2153.683,659.068,463.512,6110.07,5551.793,3875.028,7866.972,4031.65,411.741,1547.94,1379.161,905.018
338.4,2395.0,626.544,220.023,641.966,4886.876,1007.37,844.069,400.703,2312.735,1521.504,902.212,4262.308,2183.159,1190.216,6300.033,8103.358,5696.25,6496.273,1184.447,1538.42,1782.432,4811.485,9713.752,7024.736,2078.709,1964.108,-27.257,2373.09,2738.32,1607.795,2046.838,2644.907,721.539,1735.79,5292.933,2712.198,3936.509,11413.854,5290.841,1738.652,1262.596,5040.446,1736.656,3267.933,3513.598,2078.304,5340.046,954.453,2169.214,1522.004,1459.19,2648.929,1576.506,4882.628,3307.872,5230.695,4722.804,7524.63,1726.117,1108.514,1835.809,6525.943,4610.324,5957.011,2583.196,627.915,2247.458,5516.472,2427.901,1695.196,5009.018,1944.481,3931.317,2215.734,-3174.245,2451.728,786.573,3518.618,1622.93,1021.42,214.633,1891.078,-774.915,2086.443,6385.966,1225.356,12014.151,2008.622,2661.126,431.497,-144.663,6024.387,8095.749,3623.595,8265.038,2926.198,-402.855,603.785,391.504,718.08
338.44,402.5,370.346,289.1,744.681,6130.527,-88.275,1466.014,1010.925,1357.647,1012.569,1705.952,6252.449,2773.708,530.772,6450.289,8574.015,6243.499,6809.087,-10.817,1327.529,1804.136,5573.19,10456.584,5770.707,1798.831,1863.252,1136.636,2209.616,2782.002,1279.115,3438.797,2157.038,930.045,1667.236,4664.586,2919.131,3219.275,10445.876,4545.301,776.134,709.512,5384.303,1840.295,3256.712,4166.244,2776.704,5413.236,2383.31,1833.099,1657.796,2252.289,3041.049,2063.326,3995.65,3898.156,4868.412,4597.167,6280.535,194.977,696.78,1432.967,6136.98,5005.577,5666.991,2925.687,1718.044,2186.322,1343.42,2281.994,1213.772,5422.284,2588.737,3981.118,2815.767,-2027.781,1908.846,1576.034,3384.298,1786.391,1214.582,676.24,1671.186,-101.555,1733.308,5412.334,1536.837,11209.672,1327.283,2374.952,215.749,847.311,6074.615,6837.067,3481.609,8571.696,3023.738,281.406,1118.778,94.91,299.694
338.49,2007.5,-124.294,457.955,285.033,6393.706,958.04,979.956,-75.95,881.418,2131.166,1721.92,6039.6,1493.741,1509.215,7107.66,7487.471,6019.747,7000.55,389.407,1135.565,1673.912,5058.158,9591.754,6712.586,1910.239,1676.834,515.166,1533.926,3049.555,1654.358,3310.014,1828.138,1561.048,1700.142,4552.087,2295.574,3453.756,11781.686,4270.92,959.736,807.279,4355.526,2291.266,2796.677,3763.966,3249.813,6612.424,1121.059,1689.05,1287.197,1984.16,2710.991,2510.522,4006.985,3516.04,4529.843,5559.431,7330.15,1760.525,955.913,1533.677,5200.586,4448.761,4991.244,2856.028,883.732,1848.621,629.455,1998.933,1514.297,5067.637,3209.566,2961.671,2458.674,-377.77,2501.347,2165.587,2610.494,1576.227,1524.813,311.659,2084.584,827.941,2410.151,5056.414,2665.222,11781.353,1103.12,1631.489,930.97,649.507,5430.517,4854.495,3428.364,8453.751,3798.146,1537.364,790.248,-498.278,480.698
338.53,2230.0,-53.269,979.871,760.088,6876.201,794.472,1411.137,1327.821,520.957,1937.665,1966.768,4932.783,2351.506,115.269,7271.333,8159.837,5949.656,6399.193,173.07,2306.278,1285.955,5158.454,9578.199,6682.728,2782.481,1397.986,433.393,2223.239,6049.967,1514.669,3597.722,1666.428,954.736,1305.27,4779.829,2770.14,3492.376,11814.874,3833.019,1123.864,2547.538,5037.65,2109.197,3629.79,3125.386,3942.581,6344.999,1668.881,471.691,1321.145,1306.779,3074.901,2320.888,4281.863,3615.847,4343.26,4462.964,5905.876,1815.004,993.343,1834.575,5232.279,4618.979,4878.137,2368.413,880.825,2835.523,437.121,1073.879,2383.778,5431.077,2480.385,3494.83,1925.961,1359.439,2895.374,2594.618,4838.465,2951.048,995.08,-249.915,2547.825,1714.602,2318.924,5362.329,1871.827,11177.257,1374.476,2162.534,1176.274,941.785,4892.783,4987.454,3333.707,7878.766,3833.615,379.157,1325.96,869.02,1011.839
338.58,2882.5,10.146,887.768,392.883,5490.64,802.261,846.682,510.7,1441.842,1328.003,1532.961,5023.244,1964.042,651.402,5838.531,7476.713,5890.348,6291.327,930.251,1565.457,1825.839,5584.033,9651.398,7041.022,2499.886,1269.906,-343.444,1817.28,2847.525,1259.942,3164.789,1586.944,2035.673,2443.268,5169.459,2207.283,3793.062,11820.406,4617.36,1360.321,7994.578,5540.856,3198.809,3483.925,3477.027,3185.042,5517.39,799.143,2095.777,1705.889,1078.164,2516.341,2340.701,4590.747,2418.169,4436.934,5253.905,6560.813,1442.254,1407.956,2206.314,5661.58,4820.934,5052.149,3181.104,912.802,2151.388,-317.642,1444.485,875.316,5094.016,3525.837,2349.416,2423.55,2767.504,2778.625,5913.044,3322.977,1474.064,696.556,-349.881,2984.679,1573.675,2257.126,5515.286,2153.923,11224.406,371.639,2911.898,1259.027,171.234,6062.797,4934.27,3179.889,7406.984,2940.977,435.438,1616.013,-747.416,1160.203
338.62,2427.5,7.61,521.915,1312.179,6207.932,682.83,1131.523,1199.491,478.86,1513.552,1437.151,5166.918,1822.417,632.637,6144.41,7369.134,5561.459,6666.164,968.11,1643.865,1814.987,5348.202,9347.758,6688.157,2730.853,1814.93,457.925,2097.909,2937.619,1974.822,2019.437,2288.598,1720.171,1867.414,5174.947,2256.946,3633.064,10202.498,4670.019,1210.102,1902.274,5073.993,1865.505,3899.079,5524.985,3452.575,5106.401,621.242,2691.746,1451.279,389.494,3311.866,2657.7,4352.708,3407.679,4627.617,5576.564,6812.492,2087.398,2173.838,2563.071,5474.301,4696.876,5287.065,3442.326,1244.201,2986.906,970.409,1858.862,1196.265,5442.801,3168.568,3825.857,2496.725,3396.482,1923.439,8694.452,3579.939,939.898,1290.677,258.735,2996.406,1250.72,2080.558,6162.413,1592.669,11716.523,-593.576,12087.178,543.805,292.278,6142.57,4928.361,3274.547,8433.11,2734.074,438.401,322.611,1198.239,715.112
338.66,2840.0,337.37,457.955,400.587,6120.206,462.144,614.106,607.603,1218.198,1643.436,1511.67,5318.573,2255.308,1238.468,6541.516,7818.275,5971.222,7024.82,1008.673,1146.379,1185.575,4627.157,9477.889,6796.731,2296.091,921.091,776.837,2152.4,2394.323,1720.094,3320.974,2469.493,1182.446,2125.177,4428.613,2599.075,2841.348,11574.262,4767.023,2086.382,1407.85,5627.519,2268.857,3402.577,3232.285,3393.436,5469.536,1538.985,1776.609,695.935,1535.395,2682.781,2179.371,4276.196,3621.55,4260.481,5396.674,7089.911,1192.799,1151.702,2819.004,5258.21,4601.669,5269.664,2867.638,1572.694,2020.383,1156.915,1943.488,1447.189,4519.547,3754.255,4063.143,2850.891,2919.629,2644.364,1459.29,4009.181,1795.148,790.21,862.257,2421.753,1694.05,2212.984,5803.552,1692.578,11351.119,-1138.406,3425.241,496.517,422.179,5858.931,5108.595,3354.414,8144.144,3198.127,672.412,1240.127,261.003,1091.956
