sol,target,scan,point,mean,amplitude,fwhm,snr,min_ID,peak_ID
861,Dragons_Egg_Lake,detail_1,0,700.0,3425.49267347123,30.0,30.489391679608175,unidentified,1
861,Dragons_Egg_Lake,detail_1,0,775.9265196938397,319.59642919124036,69.99999935752693,2.844642110748256,unidentified,2
861,Dragons_Egg_Lake,detail_1,0,986.2346049946856,579.1312677144167,90.0,5.154692109546902,pyroxene,3
861,Dragons_Egg_Lake,detail_1,0,1013.2499514007046,13788.525814243574,30.0,122.72797063344572,sulf1_v1,4
861,Dragons_Egg_Lake,detail_1,0,1137.9303361280947,1925.455788738676,90.0,17.137965630249784,unidentified,5
861,Dragons_Egg_Lake,detail_1,1,701.4498568398798,612.3059077750823,30.0,3.052081858409002,unidentified,6
861,Dragons_Egg_Lake,detail_1,1,1011.0667452809244,2056.9231123450422,40.000000084888654,10.25287790892349,sulf1_v1,7
861,Dragons_Egg_Lake,detail_1,2,700.0,891.6867222938657,37.81522194026318,5.793744126300397,unidentified,8
861,Dragons_Egg_Lake,detail_1,2,791.9457053916437,403.8904317636782,90.0,2.6242824505449516,unidentified,9
861,Dragons_Egg_Lake,detail_1,2,941.001432249266,615.6044033560127,54.51503175121182,3.999896271745904,unidentified,10
861,Dragons_Egg_Lake,detail_1,2,1015.2997122374549,3051.150062187048,34.9712775176836,19.824880543002465,sulf1_v1,11
861,Dragons_Egg_Lake,detail_1,2,1095.8461241463033,1049.338901399059,90.0,6.818090865858723,hi-carb,12
861,Dragons_Egg_Lake,detail_1,3,700.0,486.5065333525591,88.15697904943768,2.8195772529455376,unidentified,13
861,Dragons_Egg_Lake,detail_1,3,984.389181861457,1043.8099973057865,57.37489720745233,6.049462284749514,pyroxene,14
861,Dragons_Egg_Lake,detail_1,3,1019.3160704023812,10569.200104969435,30.0,61.254421379384866,sulf1_v1,15
861,Dragons_Egg_Lake,detail_1,3,1092.9038511434478,1351.5720165349785,73.83186629540693,7.833115184042389,hi-carb,16
861,Dragons_Egg_Lake,detail_1,3,1169.6917641432087,1380.5573706452471,68.19476762586109,8.00110151005265,unidentified,17
861,Dragons_Egg_Lake,detail_1,4,700.0,1142.2516261732767,49.36163373397597,8.846120879196073,unidentified,18
861,Dragons_Egg_Lake,detail_1,4,969.6777977293888,2420.7227631253904,30.0,18.747188173738067,phosphate,19
861,Dragons_Egg_Lake,detail_1,4,1011.4687649792758,84081.71088084929,30.0,651.1673620228897,sulf1_v1,20
861,Dragons_Egg_Lake,detail_1,4,1123.6497812913235,2343.721203224943,30.0,18.150852750650927,sulf_v3,21
861,Dragons_Egg_Lake,detail_1,4,1143.184154547735,11248.238324404218,77.09846221841194,87.11152045284216,unidentified,22
861,Dragons_Egg_Lake,detail_1,5,700.0,696.6160729401424,31.219610193751567,5.007234123480025,unidentified,23
861,Dragons_Egg_Lake,detail_1,5,960.8395072984785,465.7185561163462,90.0,3.3475567629114864,phosphate,24
861,Dragons_Egg_Lake,detail_1,5,1012.2268261955616,5919.344586103589,34.13058028178873,42.54789022463661,sulf1_v1,25
861,Dragons_Egg_Lake,detail_1,5,1139.733383141412,1111.1332594517403,77.93571925322594,7.986758544025736,unidentified,26
861,Dragons_Egg_Lake,detail_1,6,709.5728671921551,358.23250334078784,90.0,2.6746621227445746,unidentified,27
861,Dragons_Egg_Lake,detail_1,6,799.0809293723911,370.6966244277589,30.0,2.7677226693273886,unidentified,28
861,Dragons_Egg_Lake,detail_1,6,1012.7590467597016,1586.6369778354922,32.06033921836151,11.846266845098226,sulf1_v1,29
861,Dragons_Egg_Lake,detail_1,6,1017.8585112904386,344.13239871617174,69.99999991184526,2.569386874366792,sulf1_v1,30
861,Dragons_Egg_Lake,detail_1,6,1123.0313848681496,565.3542693583776,74.89659537028167,4.22109003533465,sulf_v3,31
861,Dragons_Egg_Lake,detail_1,7,700.5668950532149,346.1454047670179,90.0,2.6514057362087,unidentified,32
861,Dragons_Egg_Lake,detail_1,7,994.4635915434242,448.79559153352625,30.0,3.4376859822191985,pyroxene,33
861,Dragons_Egg_Lake,detail_1,7,1023.0387056506568,7009.594472253767,30.0,53.69211532575373,sulf2_v1,34
861,Dragons_Egg_Lake,detail_1,7,1155.2366021993646,1088.548693967206,76.50353911292183,8.338068949000663,unidentified,35
861,Dragons_Egg_Lake,detail_1,8,797.540943054453,197.7282653905499,90.0,2.6876065438844177,unidentified,36
861,Dragons_Egg_Lake,detail_1,8,969.0690471027244,420.6055235209431,64.72320249142344,5.717048876021975,phosphate,37
861,Dragons_Egg_Lake,detail_1,8,1002.4882323630728,2515.9678321524,39.103198501444446,34.198103121672645,pyroxene,38
861,Dragons_Egg_Lake,detail_1,8,1014.7286309983048,40385.65349908145,30.0,548.9389511853143,sulf1_v1,39
861,Dragons_Egg_Lake,detail_1,8,1147.5412437273426,5958.929294761355,78.3323603942007,80.99629729473467,unidentified,40
861,Dragons_Egg_Lake,detail_1,9,1009.6522056358604,269.1884903962269,30.0,2.2830846366470263,sulf1_v1,41
861,Dragons_Egg_Lake,detail_1,9,1012.0709820372142,6602.474700124472,30.0,55.99796829915337,sulf1_v1,42
861,Dragons_Egg_Lake,detail_1,9,1059.980308729013,292.49958516492165,30.0,2.4807944356488036,lo-carb,43
861,Dragons_Egg_Lake,detail_1,9,1137.776925442027,1035.2043398712844,74.74298860928648,8.77994122509327,unidentified,44
861,Dragons_Egg_Lake,detail_1,10,967.389583487608,1443.9817710404543,30.0,9.172182504735124,phosphate,45
861,Dragons_Egg_Lake,detail_1,10,1009.8219259381842,54568.25381767451,30.0,346.6179373024769,sulf1_v1,46
861,Dragons_Egg_Lake,detail_1,10,1058.3216916715537,795.5159658332377,30.0,5.053123086723971,lo-carb,47
861,Dragons_Egg_Lake,detail_1,10,1137.1425809766858,7674.90890632783,61.92919396420042,48.75107609241676,unidentified,48
861,Dragons_Egg_Lake,detail_1,10,1175.1653650804694,2018.2606287866076,37.021067260207374,12.820005903546551,unidentified,49
861,Dragons_Egg_Lake,detail_1,11,986.490457523086,4527.288083091702,50.739414452414586,56.260041941280875,pyroxene,50
861,Dragons_Egg_Lake,detail_1,11,1011.6510029107508,101817.22172135123,30.0,1265.2698611739495,sulf1_v1,51
861,Dragons_Egg_Lake,detail_1,11,1072.9141628472114,2234.596255530908,85.26285941194351,27.769047772224923,lo-carb,52
861,Dragons_Egg_Lake,detail_1,11,1123.5035425024637,8010.513973825354,37.39686235720616,99.5456537925604,sulf_v3,53
861,Dragons_Egg_Lake,detail_1,11,1159.2967217323744,12673.088692301191,55.63372014769579,157.4868858063777,unidentified,54
861,Dragons_Egg_Lake,detail_1,12,706.1813316231971,370.82058856991546,30.0,4.304505463813916,unidentified,55
861,Dragons_Egg_Lake,detail_1,12,987.2406029021566,1657.265622604696,45.70925511979328,19.23762905130031,pyroxene,56
861,Dragons_Egg_Lake,detail_1,12,1016.6576073922422,32592.62340472253,30.0,378.3369366482893,sulf1_v1,57
861,Dragons_Egg_Lake,detail_1,12,1064.8046820761094,709.8076176150985,30.0,8.239485245584909,lo-carb,58
861,Dragons_Egg_Lake,detail_1,12,1147.0989408130397,4834.544620933257,74.01354344772139,56.11965564294915,unidentified,59
861,Dragons_Egg_Lake,detail_1,13,969.3924531440484,686.6014434216981,69.99999961050204,4.729069636890907,phosphate,60
861,Dragons_Egg_Lake,detail_1,13,1009.7118761454008,13433.570325684494,30.0,92.52571510138134,sulf1_v1,61
861,Dragons_Egg_Lake,detail_1,13,1075.895447324086,920.273123921279,64.82976318159332,6.338518116557355,hi-carb,62
861,Dragons_Egg_Lake,detail_1,13,1120.0217905156455,633.8118943375168,30.0,4.365473760256788,sulf_v3,63
861,Dragons_Egg_Lake,detail_1,13,1141.517634117062,1983.0408527057612,64.69158684971813,13.658489033331833,unidentified,64
861,Dragons_Egg_Lake,detail_1,14,713.2581508178862,1047.7097456086133,39.999999947879694,7.901389440398127,unidentified,65
861,Dragons_Egg_Lake,detail_1,14,960.0118835746218,1537.0491311974667,43.322578928466534,11.59178276762317,phosphate,66
861,Dragons_Egg_Lake,detail_1,14,1016.3352981244,5489.381456284522,34.48874134734508,41.39862290562933,sulf1_v1,67
861,Dragons_Egg_Lake,detail_1,14,1116.9227498229136,542.4383558049096,90.0,4.090843589637599,unidentified,68
861,Dragons_Egg_Lake,detail_1,14,1168.9601996556578,704.1680339893163,38.00532390403933,5.310541293855224,unidentified,69
861,Dragons_Egg_Lake,detail_1,15,702.4137563484064,712.5986755863393,69.99997059067265,5.165468077785213,unidentified,70
861,Dragons_Egg_Lake,detail_1,15,981.9771464363696,2652.761958267467,52.32270086305539,19.2292768466328,pyroxene,71
861,Dragons_Egg_Lake,detail_1,15,1012.3472704217644,44692.09831690232,30.0,323.9630034328157,sulf1_v1,72
861,Dragons_Egg_Lake,detail_1,15,1063.3463232272984,998.2183000943268,30.0,7.235860717192039,lo-carb,73
861,Dragons_Egg_Lake,detail_1,15,1142.7547323845708,6638.873544180603,77.77823203543889,48.123706287695335,unidentified,74
861,Dragons_Egg_Lake,detail_1,16,708.8947648008086,1055.7485576578215,90.0,6.337996515169648,unidentified,75
861,Dragons_Egg_Lake,detail_1,16,985.2004639030284,2094.746122543129,66.17492371188703,12.575431459075242,pyroxene,76
861,Dragons_Egg_Lake,detail_1,16,1017.9658031386676,21745.723306515403,30.0,130.5465373708881,sulf1_v1,77
