LASER_SHOT_POSITION:
number,spec_name,image_name,samp,line
36,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,787.018,642.715
37,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,777.594,643.214
38,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,768.105,643.539
39,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,758.144,643.443
40,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,758.315,653.017
41,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,768.063,653.26
42,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,777.893,653.007
43,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,787.309,652.843
44,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,797.145,653.318
45,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,806.458,652.528
46,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,816.175,652.45
47,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,825.874,652.446
48,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,835.723,652.717
49,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,845.195,652.465
50,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,845.481,662.462
51,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,835.825,662.583
52,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,826.287,662.66
53,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,816.671,662.766
54,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,806.845,662.553
55,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,797.255,662.849
56,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,787.49,662.68
57,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,777.783,663.02
58,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,768.074,662.762
59,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,758.453,662.738
60,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,758.585,672.327
61,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,768.367,672.424
62,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,778.064,672.885
63,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,787.622,672.269
64,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,797.343,672.322
65,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,806.921,672.23
66,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,816.725,672.385
67,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,826.412,672.584
68,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,835.936,672.114
69,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,845.762,672.327
70,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,845.65,681.742
71,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,836.356,681.993
72,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,826.496,681.926
73,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,816.862,682.105
74,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,807.368,682.299
75,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,797.708,682.289
76,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,787.943,682.119
77,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,778.37,682.342
78,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,768.614,682.435
79,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,758.949,682.294
80,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,759.096,692.276
81,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,768.879,692.373
82,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,778.373,692.18
83,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,787.901,691.84
84,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,797.901,691.921
85,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,807.444,691.976
86,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,816.948,692.045
87,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,826.643,691.908
88,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,836.484,691.451
