sol,target,scan,point,mean,amplitude,fwhm,snr,min_ID,peak_ID,master_ID
861,Dragons_Egg_Lake,detail_1,3,1169.9247597232416,1383.4057598274849,68.21004277350768,8.017863828124169,unidentified,16,861_Dragons_Egg_Lake_detail_1_f16
861,Dragons_Egg_Lake,detail_1,4,969.6826245091768,2457.4579750460575,30.0,19.047086414079285,phosphate,17,861_Dragons_Egg_Lake_detail_1_f17
861,Dragons_Egg_Lake,detail_1,4,1011.4587833753822,84095.79915948535,30.0,651.803599457994,sulf1_v1,18,861_Dragons_Egg_Lake_detail_1_f18
861,Dragons_Egg_Lake,detail_1,4,1062.84744099937,1684.2662771145372,30.0,13.054288476253168,lo-carb,19,861_Dragons_Egg_Lake_detail_1_f19
861,Dragons_Egg_Lake,detail_1,4,1120.0538137370877,2814.815153015169,30.0,21.816864419882865,reject,20,861_Dragons_Egg_Lake_detail_1_f20
861,Dragons_Egg_Lake,detail_1,4,1144.7007162297946,11612.860195477257,71.3484920294502,90.00811159496284,unidentified,21,861_Dragons_Egg_Lake_detail_1_f21
861,Dragons_Egg_Lake,detail_1,5,700.0,433.560666425774,30.0,3.116293419444927,reject,22,861_Dragons_Egg_Lake_detail_1_f22
861,Dragons_Egg_Lake,detail_1,5,947.9976504008546,338.4289291712764,30.0,2.4325173536165283,unidentified,23,861_Dragons_Egg_Lake_detail_1_f23
861,Dragons_Egg_Lake,detail_1,5,1012.1260393945212,5892.789712333383,34.33371329347789,42.35546078039154,sulf1_v1,24,861_Dragons_Egg_Lake_detail_1_f24
861,Dragons_Egg_Lake,detail_1,5,1135.1987697712173,1085.0263432407758,86.72675654466886,7.798817363300869,unidentified,25,861_Dragons_Egg_Lake_detail_1_f25
861,Dragons_Egg_Lake,detail_1,6,1011.7038373882856,1705.706296469779,32.48304792168808,12.734268573849466,sulf1_v1,26,861_Dragons_Egg_Lake_detail_1_f26
861,Dragons_Egg_Lake,detail_1,6,1122.4927138533303,516.4718612138005,69.12248151850483,3.8558170331811104,sulf_v3,27,861_Dragons_Egg_Lake_detail_1_f27
861,Dragons_Egg_Lake,detail_1,7,700.0,298.1337368086313,30.0,2.284844189040717,unidentified,28,861_Dragons_Egg_Lake_detail_1_f28
861,Dragons_Egg_Lake,detail_1,7,995.2262320083104,399.6858517477175,30.0,3.0631216231450766,reject,29,861_Dragons_Egg_Lake_detail_1_f29
861,Dragons_Egg_Lake,detail_1,7,1023.0222562887118,6972.413108701019,30.0,53.43533994353915,sulf2_v1,30,861_Dragons_Egg_Lake_detail_1_f30
861,Dragons_Egg_Lake,detail_1,7,1128.58517099771,659.2679550454508,50.64308245925706,5.05251291662187,sulf_v3,31,861_Dragons_Egg_Lake_detail_1_f31
861,Dragons_Egg_Lake,detail_1,7,1168.0896675668107,1026.3611093170734,39.99999997492609,7.865849875238295,unidentified,32,861_Dragons_Egg_Lake_detail_1_f32
861,Dragons_Egg_Lake,detail_1,8,985.7360258802744,1687.6358077035984,30.0,22.939743937924344,pyroxene,33,861_Dragons_Egg_Lake_detail_1_f33
861,Dragons_Egg_Lake,detail_1,8,1014.467169080624,2343.836468162432,30.0,31.859366912329897,reject,34,861_Dragons_Egg_Lake_detail_1_f34
861,Dragons_Egg_Lake,detail_1,8,1014.4746395990476,40197.92605900024,30.0,546.4035110062305,sulf1_v1,35,861_Dragons_Egg_Lake_detail_1_f35
861,Dragons_Egg_Lake,detail_1,8,1128.9482091694877,866.2670832280531,30.0,11.775019811972532,reject,36,861_Dragons_Egg_Lake_detail_1_f36
861,Dragons_Egg_Lake,detail_1,8,1150.1173575790592,5532.823440765766,81.3024029597465,75.20671960475704,unidentified,37,861_Dragons_Egg_Lake_detail_1_f37
861,Dragons_Egg_Lake,detail_1,9,1011.9878807734108,6429.357749894565,30.0,54.49656305499481,sulf1_v1,38,861_Dragons_Egg_Lake_detail_1_f38
861,Dragons_Egg_Lake,detail_1,9,1011.9943181167688,428.3109487820158,30.0,3.630451988431745,reject,39,861_Dragons_Egg_Lake_detail_1_f39
861,Dragons_Egg_Lake,detail_1,9,1060.0309503764593,282.3363961449062,30.0,2.393141556865955,lo-carb,40,861_Dragons_Egg_Lake_detail_1_f40
861,Dragons_Egg_Lake,detail_1,9,1134.8573334594146,723.0483948992733,76.01833275562916,6.128707403952939,sulf_v3,41,861_Dragons_Egg_Lake_detail_1_f41
861,Dragons_Egg_Lake,detail_1,9,1144.5009697293706,315.6459345308013,70.00000106382413,2.6754800780050956,reject,42,861_Dragons_Egg_Lake_detail_1_f42
861,Dragons_Egg_Lake,detail_1,10,967.3544781019974,1462.4167290895298,30.0,9.290048354353218,phosphate,43,861_Dragons_Egg_Lake_detail_1_f43
861,Dragons_Egg_Lake,detail_1,10,1009.8235298287348,54607.85101627216,30.0,346.89809435120804,sulf1_v1,44,861_Dragons_Egg_Lake_detail_1_f44
861,Dragons_Egg_Lake,detail_1,10,1059.6650999162705,924.5657398399162,30.0,5.873332996702433,lo-carb,45,861_Dragons_Egg_Lake_detail_1_f45
861,Dragons_Egg_Lake,detail_1,10,1131.1135531719958,7082.217191863032,53.38757556630188,44.99000788195392,sulf_v3,46,861_Dragons_Egg_Lake_detail_1_f46
861,Dragons_Egg_Lake,detail_1,10,1169.184467903114,3906.424890244901,43.67847040659399,24.815687212233986,unidentified,47,861_Dragons_Egg_Lake_detail_1_f47
861,Dragons_Egg_Lake,detail_1,11,960.4308743539456,913.259194341357,70.04561139318473,11.367452244876114,reject,48,861_Dragons_Egg_Lake_detail_1_f48
861,Dragons_Egg_Lake,detail_1,11,988.6192856398188,4535.527306190473,39.96521057661832,56.45427976844517,pyroxene,49,861_Dragons_Egg_Lake_detail_1_f49
861,Dragons_Egg_Lake,detail_1,11,1011.7859167048744,102751.01941326626,30.0,1278.9548832683995,sulf1_v1,50,861_Dragons_Egg_Lake_detail_1_f50
861,Dragons_Egg_Lake,detail_1,11,1053.344739531352,2183.0922072481585,30.0,27.173223730807425,1050,51,861_Dragons_Egg_Lake_detail_1_f51
861,Dragons_Egg_Lake,detail_1,11,1145.0588191250058,14952.682753413668,76.7134569806109,186.11792597916065,unidentified,52,861_Dragons_Egg_Lake_detail_1_f52
861,Dragons_Egg_Lake,detail_1,12,852.1922586336066,300.15069979594904,30.0,3.489247486498414,olivine,53,861_Dragons_Egg_Lake_detail_1_f53
861,Dragons_Egg_Lake,detail_1,12,987.10551578301,1716.8991681313548,47.32173114985239,19.958927668821648,pyroxene,54,861_Dragons_Egg_Lake_detail_1_f54
861,Dragons_Egg_Lake,detail_1,12,1016.670390986297,32617.822619955212,30.0,379.1817099513752,sulf1_v1,55,861_Dragons_Egg_Lake_detail_1_f55
861,Dragons_Egg_Lake,detail_1,12,1064.548283811581,775.5547309259115,30.0,9.015812381463297,lo-carb,56,861_Dragons_Egg_Lake_detail_1_f56
861,Dragons_Egg_Lake,detail_1,12,1147.04085377646,4885.684857899422,74.95442753223118,56.796014874655306,unidentified,57,861_Dragons_Egg_Lake_detail_1_f57
861,Dragons_Egg_Lake,detail_1,13,969.2566247771788,664.5508170653902,63.95849868654073,4.5783386046539665,phosphate,58,861_Dragons_Egg_Lake_detail_1_f58
861,Dragons_Egg_Lake,detail_1,13,1009.728045046104,13504.298822160468,30.00199151173439,93.036154705678,sulf1_v1,59,861_Dragons_Egg_Lake_detail_1_f59
861,Dragons_Egg_Lake,detail_1,13,1079.84330283368,1039.4465124682638,67.7404972487869,7.161134970116385,hi-carb,60,861_Dragons_Egg_Lake_detail_1_f60
861,Dragons_Egg_Lake,detail_1,13,1120.855019591117,859.9274121974195,31.802000582300337,5.924360887628303,reject,61,861_Dragons_Egg_Lake_detail_1_f61
861,Dragons_Egg_Lake,detail_1,13,1145.9418552253485,1849.424195022596,61.174081903964954,12.741373527827406,unidentified,62,861_Dragons_Egg_Lake_detail_1_f62
861,Dragons_Egg_Lake,detail_1,14,713.5700953062246,861.617590841998,30.0,6.5026431740562245,unidentified,63,861_Dragons_Egg_Lake_detail_1_f63
861,Dragons_Egg_Lake,detail_1,14,955.2416176949276,1097.7416670439611,30.0,8.28467574705019,phosphate,64,861_Dragons_Egg_Lake_detail_1_f64
861,Dragons_Egg_Lake,detail_1,14,999.6746188887628,986.0018693767726,76.74148785754842,7.441373520756378,pyroxene,65,861_Dragons_Egg_Lake_detail_1_f65
861,Dragons_Egg_Lake,detail_1,14,1017.1423229398508,4774.122943219911,30.47943676633701,36.03039016241144,sulf1_v1,66,861_Dragons_Egg_Lake_detail_1_f66
861,Dragons_Egg_Lake,detail_1,14,1151.2501156569283,794.0662243484152,90.0,5.99283181818731,unidentified,67,861_Dragons_Egg_Lake_detail_1_f67
861,Dragons_Egg_Lake,detail_1,15,711.8427032849798,525.099147496182,37.13940202444009,3.805595196719608,unidentified,68,861_Dragons_Egg_Lake_detail_1_f68
861,Dragons_Egg_Lake,detail_1,15,981.7857431031256,2713.1539102801717,52.60112259125675,19.66326842874624,pyroxene,69,861_Dragons_Egg_Lake_detail_1_f69
861,Dragons_Egg_Lake,detail_1,15,1012.356784703232,44763.38369609392,30.0,324.41743391710696,sulf1_v1,70,861_Dragons_Egg_Lake_detail_1_f70
861,Dragons_Egg_Lake,detail_1,15,1063.042849901409,1086.4157941890169,30.0,7.873672520171253,lo-carb,71,861_Dragons_Egg_Lake_detail_1_f71
861,Dragons_Egg_Lake,detail_1,15,1142.7719393007465,6703.779754897274,78.75921173192769,48.58486660424204,unidentified,72,861_Dragons_Egg_Lake_detail_1_f72
861,Dragons_Egg_Lake,detail_1,16,706.2563881096171,795.4374045239455,44.65305697744317,4.776815439797817,unidentified,73,861_Dragons_Egg_Lake_detail_1_f73
861,Dragons_Egg_Lake,detail_1,16,986.7463739097532,1999.4207030363864,56.07448874802043,12.007058796325564,pyroxene,74,861_Dragons_Egg_Lake_detail_1_f74
861,Dragons_Egg_Lake,detail_1,16,1018.016124709954,21752.153884805175,30.0,130.62753138693705,sulf1_v1,75,861_Dragons_Egg_Lake_detail_1_f75
861,Dragons_Egg_Lake,detail_1,16,1065.562607695595,780.9896552572632,30.0,4.690052821677389,lo-carb,76,861_Dragons_Egg_Lake_detail_1_f76
861,Dragons_Egg_Lake,detail_1,16,1143.2971758313245,3468.729622342854,73.24736978443221,20.8306538292701,unidentified,77,861_Dragons_Egg_Lake_detail_1_f77
861,Dragons_Egg_Lake,detail_1,17,990.616089473,4322.559743893695,62.52898978059286,16.288292410509502,pyroxene,78,861_Dragons_Egg_Lake_detail_1_f78
861,Dragons_Egg_Lake,detail_1,17,1013.1895905259212,73014.61303695814,30.0,275.13404969502756,sulf1_v1,79,861_Dragons_Egg_Lake_detail_1_f79
861,Dragons_Egg_Lake,detail_1,17,1061.8089191229003,1648.2628947338617,32.21064478434679,6.210992927684621,lo-carb,80,861_Dragons_Egg_Lake_detail_1_f80
861,Dragons_Egg_Lake,detail_1,17,1141.922875554331,11686.895165770928,78.39350662810114,44.03861996354361,unidentified,81,861_Dragons_Egg_Lake_detail_1_f81
